tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,nconst,category,job,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,deathYear_for_age,age,imdb_id,titre,overview,poster_path,date_sortie,note_moyenne,nombre_votes,popularite,budget,revenue,production_countries
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,94.0,"Fantasy,Horror",7.8,123375,2,nm0334603,actor,\N,"[""Knock - ein Häusermakler""]",Alexander Granach,1893,1945,"actor,archive_footage","tt0013442,tt0031725,tt0035966,tt0036921",1945,52,tt0013442,Nosferatu,"En 1838, Hutter, jeune clerc de notaire, part conclure une vente avec un châtelain des Carpathes. Après des rencontres menaçantes et de funestes présages, il est reçu par le comte Orlock qui n'est autre que la réincarnation du vampire Nosferatu, créature qui ne peut vivre qu'en suçant le sang des humains. Ce chef-d'œuvre du cinéma muet d'épouvante tourné en décors naturels est la première adaptation fidèle du célèbre roman de Bram Stocker, Dracula, publié en 1897.",/9WUpFfsUIHuiY4MwTEw46Rvf1Od.jpg,1922-02-16,7.657,2445,4.5882,0,27964,['Germany']
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,95.0,"Adventure,Comedy,Drama",8.1,128154,5,nm0906618,actor,\N,"[""Jack Cameron""]",Malcolm Waite,1892,1949,actor,"tt0015864,tt0021191,tt0020223,tt0028639",1949,57,tt0015864,La Ruée vers l'or,Le célèbre assaut pour tout l'or de l'Oklahoma vu par l'un des maîtres du burlesque américain.,/iOPQ531swI0lSWfYHRPGvfwMGoJ.jpg,1925-07-13,7.967,1827,4.1865,923000,4000000,['United States of America']
tt0017136,movie,Metropolis,Metropolis,0,1927,153.0,"Drama,Sci-Fi",8.2,201225,1,nm0375609,actress,\N,"[""Maria""]",Brigitte Helm,1908,1996,"actress,soundtrack,archive_footage","tt0017136,tt0023002,tt0170861,tt0017621",1996,88,tt0017136,Metropolis,"En 2026, une métropole à l’architecture fantastique vit sous le joug d’un groupe de tyrans. Les aristocrates se prélassent et se divertissent dans de somptueuses demeures et de luxuriants jardins, tandis que la grande masse de la population travaille, dort et survit durement dans les profondeurs de la terre. Le fils du maître de la ville découvre avec effarement l’existence du monde souterrain, où se rencontrent en secret les ouvriers, peu enclins à supporter pour toujours leur situation. Pendant ce temps, un savant invente une femme‐robot qui doit détourner les opprimés de leur révolte…",/vHDWZOpupmKB7iNuiWFqnUSjfmN.jpg,1927-01-10,8.086,3086,4.9685,5300000,1350322,['Germany']
tt0017925,movie,The General,The General,0,1926,78.0,"Action,Adventure,Comedy",8.1,106258,1,nm0000036,actor,\N,"[""Johnnie Gray""]",Buster Keaton,1895,1966,"actor,writer,director","tt0017925,tt0015163,tt0015324,tt0016332",1966,71,tt0017925,Le Mécano de la Générale,"En 1861, en Géorgie à Marietta, Johnnie Gray à deux amours : sa locomotive, la « Générale », qu'il conduit pour la compagnie ferroviaire « Western et Atlantique » et sa fiancée, Annabelle Lee. Mais la guerre de Sécession éclate. Le père et le frère d'Annabelle s'enrôlent dans l'armée des Sudistes. Sur les demande et pression de sa fiancée, Johnnie, se présente au bureau de recrutement. Mais il jugé plus utile pour le Sud à son poste de conducteur. Ce refus militaire entache la réputation de Johnnie et dépose un soupçon de couardise de la part de sa fiancée et de sa belle-famille. Un an plus tard, pour répondre à un plan militaire établi, des soldats yankees volent sa « Générale » et enlèvent dans la foulée sa fiancée, Annabelle, qui était également dans le train. Johnnie part à la poursuite de ses deux amours et devra relever bien des défis...",/fBqCF0ScIDElrSKzaXz0fHc85Nj.jpg,1926-12-25,7.918,1402,2.9877,750000,1000000,['United States of America']
tt0018066,movie,The End of St. Petersburg,Konets Sankt-Peterburga,0,1927,85.0,Drama,7.3,1982,3,nm0161548,actor,\N,"[""Peasant boy""]",Ivan Chuvelyov,1897,1942,"actor,archive_footage","tt6745812,tt0261002,tt0030947,tt21928214",1942,45,tt0018066,Les derniers jours de Saint-Pétersbourg,Un paysan arrive à Saint-Pétersbourg et accepte le premier travail qu'on lui propose. Il s'agit de travailler à l'usine de Lebedev quand les ouvriers se mettent en grève et de dénoncer les mouvements sociaux qui se préparent. Il accomplit consciencieusement son travail et fait indirectement arrêter un ami de son village avec qui il a passé son enfance. C'est alors qu'il prend conscience de son erreur et frappe le patron de l'usine. La guerre éclate et il est envoyé sur le front. Il reste malgré les événements un homme compatissant3 et rentre en Russie prêt à accomplir la révolution.,/dILDTasB6ET7VPNm0cY7SM4SLHA.jpg,1927-12-13,6.7,40,2.4916,0,0,['Soviet Union']
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,114.0,"Biography,Drama,History",8.1,68208,1,nm0266029,actress,\N,"[""Jeanne d'Arc""]",Maria Falconetti,1892,1946,"actress,archive_footage","tt0019254,tt0177651,tt0486295",1946,54,tt0019254,La Passion de Jeanne d'Arc,"Le procès de Jeanne d'Arc, au terme duquel elle fut brûlée sur le bûcher.",/A5OBsVmg6COi6nxyrjKNOr4dUPd.jpg,1928-04-21,7.974,1085,2.1062,0,18121,['France']
tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,152.0,"Drama,War",8.1,72146,1,nm0000817,actor,\N,"[""Paul""]",Lew Ayres,1908,1996,"actor,director,producer","tt0020629,tt0030241,tt0040495,tt0069768",1996,88,tt0020629,"À l'ouest, rien de nouveau","Lors de la Première Guerre mondiale, Paul Bäumer et ses amis de classe d'un lycée allemand se décident à s'enrôler volontairement pour répondre aux harangues patriotiques de leur professeur.",/7xdlEb12Vaxh8qUMEWHZltHY4Fc.jpg,1930-04-29,7.74,926,2.8994,1448864,3270000,['United States of America']
tt0020656,movie,Ladies' Paradise,Au bonheur des dames,0,1930,85.0,"Drama,Romance",7.2,731,1,nm0663077,actress,\N,"[""Denise Baudu""]",Dita Parlo,1906,1971,"actress,archive_footage","tt0028950,tt0024844,tt0020159,tt0147629",1971,65,tt0020656,Au Bonheur des Dames,"L'essor des grands magasins au XIXème siècle à travers l'histoire d'une orpheline qui monte à Paris pour travailler chez son oncle marchand de draps, transposée dans le Paris de la fin des années 1920.",/lcshMRxDFWDtT2W9ImBeyuYnbg4.jpg,1930-07-03,6.4,33,4.7603,0,0,['France']
tt0021749,movie,City Lights,City Lights,0,1931,87.0,"Comedy,Drama,Romance",8.5,216418,2,nm0156039,actress,\N,"[""A Blind Girl""]",Virginia Cherrill,1908,1996,"actress,archive_footage","tt0021749,tt0021793,tt0027201,tt0025985",1996,88,tt0021749,Les Lumières de la ville,"Un vagabond s’éprend d’une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère, couverte de dettes. Suite à un quiproquo, la fleuriste s’imagine le misérable, qui vient de lui acheter une fleur, en milliardaire…",/fnPw9ouGT89hE8mcyxq9oUwQjP4.jpg,1931-02-06,8.2,2449,5.8097,1500000,4250000,['United States of America']
tt0021814,movie,Dracula,Dracula,0,1931,74.0,"Drama,Fantasy,Horror",7.3,64790,2,nm0151377,actress,\N,"[""Mina""]",Helen Chandler,1906,1965,"actress,soundtrack,archive_footage","tt0021814,tt0024075,tt0023924,tt0021225",1965,59,tt0021814,Dracula,"Renfield, chargé de conclure une transaction immobilière avec le comte Dracula, se rend dans son château des Carpathes, où l'aristocrate, qui s'avère être un vampire, va l'hypnotiser pour le mettre sous ses ordres. Débarqué en Angleterre, Dracula ne tarde pas à créer de nouveaux semblables parmi la société locale en commençant par la jeune Lucy, fille du directeur de l'asile...",/hLA7d1FFaPM7DpeFZvWyCQ2UQ44.jpg,1931-02-12,7.2,1374,3.4755,355000,700000,['United States of America']
