tconst,primaryName
tt0002101,Helene Costello
tt0002130,Emin Belig Belli
tt0002423,Pola Negri
tt0002423,Ernst Lubitsch
tt0002452,Elvire Popesco
tt0002885,Elsa Lorimer
tt0003102,Letizia Quaranta
tt0003165,André Luguet
tt0003165,Fabienne Fabrèges
tt0003471,Ethel Grandin
tt0003471,Irene Wallace
tt0003637,Francesca Bertini
tt0003637,Alberto Albertini
tt0003637,Francesca Bertini
tt0003643,Blanche Sweet
tt0003643,Mae Marsh
tt0003643,Robert Harron
tt0003643,George Beranger
tt0003740,Italia Almirante-Manzini
tt0003740,Lidia Quaranta
tt0003883,Maurice Lagrenée
tt0004052,Helen Holmes
tt0004052,Helen Gibson
tt0004052,Helen Gibson
tt0004052,Pearl Hoxie
tt0004066,Karen Caspersen
tt0004066,Otto Reinwald
tt0004066,Bjørn Spiro
tt0004457,Richard Rosson
tt0004457,Todd Wright
tt0004465,Eleanor Woodruff
tt0004465,Eleanor Woodruff
tt0004630,Bessie Eyton
tt0004630,Wheeler Oakman
tt0004635,Winifred Kingston
tt0004635,'Baby' Carmen De Rue
tt0004681,Mary Pickford
tt0004681,Olive Carey
tt0004707,Mabel Normand
tt0004707,Charles Bennett
tt0004707,Charles Bennett
tt0004707,Dan Albert
tt0004707,Dan Albert
tt0004972,Lillian Gish
tt0004972,Mae Marsh
tt0004972,Miriam Cooper
tt0004972,Robert Harron
tt0004972,Wallace Reid
tt0005084,Viola Dana
tt0005149,Charles Ray
tt0005149,Patricia Palmer
tt0005149,John Gilbert
tt0005149,Leo Willis
tt0005302,Mary Pickford
tt0005302,Lottie Pickford
tt0005302,Jack Pickford
tt0005402,Cleo Ridgely
tt0005402,Wallace Reid
tt0005402,Lucien Littlefield
tt0005529,Karen Caspersen
tt0005529,Grethe Brandes
tt0005557,Leo Willis
tt0005719,Juanita Hansen
tt0005719,Ora Carew
tt0006206,Suzanne Delvé
tt0006333,Lois Alexander
tt0006517,Enid Markey
tt0006517,Claire Du Brey
tt0006517,George Fisher
tt0006614,Betty Schade
tt0006614,Douglas Gerrard
tt0006614,Edna Maison
tt0006664,Lorraine Huling
tt0006664,Paul Willis
tt0006664,Mildred Bracken
tt0006664,Beulah Burns
tt0006753,Alma Rubens
tt0006753,Jewel Carmen
tt0006753,George Beranger
tt0006753,Winifred Westover
tt0006864,Lillian Gish
tt0006864,Lillian Gish
tt0006864,Robert Harron
tt0006864,Mae Marsh
tt0006886,René Poyen
tt0006886,Yvette Andréyor
tt0006997,Valentina Frascaroli
tt0007338,Burford Hampden
tt0007459,Pina Menichelli
tt0007459,Valentina Frascaroli
